ProductionDate,Product,BatchNumber,UnitsProduced,Shift,Supervisor,ProductCode,ManufacturingSite,ProductionLine,UnitsRejected,YieldPercentage,StartTime,EndTime,RunTimeHours,MachineID,OperatorName,QCStatus,TemperatureCelsius,HumidityPercent,RawMaterialsUsed,PackagingType,Remarks,MaintenanceRequired,DeviationFlag,ApprovedBy,Production_Efficiency (%),Batch_Status,Machine_Downtime_Minutes,Energy_Consumed_kWh,Shift_Duration_Hours,Temperature_Fahrenheit,Quality_Score,Waste_Percentage,Resource_Utilization (%),Compliance_Check,Reason_For_Machine_Downtime,Downtime_Category,Preventive_Maintenance_Status,Operator_Experience_Level,Rework_Units,Audit_Findings,Downtime_Category,Repair_Time_Minutes
25-01-2025,Paracetamol,BATCH0049,3635,Night,Robert Lee,PRC-001,Plant A,Line 3,68,98.13,25-01-2025 06:00,25-01-2025 08:00,2,MC-005,Bob,Pending,21.6,52.2,7,Blister Pack,,Yes,No,Dr. Allen,98.12929849,Pending,54,126.29,8,70.88,90,1.870701513,61.64,Fail,Operator Error,Unscheduled,Yes,Mid,118,Compliant,Electrical,52
27-01-2025,Paracetamol,BATCH0050,1714,Evening,Robert Lee,PRC-001,Plant B,Line 2,238,86.11,27-01-2025 12:00,27-01-2025 18:00,6,MC-005,Bob,Pass,22.5,50.2,4,Blister Pack,,Yes,No,Dr. Allen,86.11435239,Approved,51,186.13,10,72.5,99,13.88564761,75.95,Fail,Operator Error,Unscheduled,No,Senior,130,Major Deviation,Operational,57
31-01-2025,Ciprofloxacin,BATCH0051,3943,Night,Jane Smith,CPF-004,Plant B,Line 3,282,92.85,31-01-2025 14:00,31-01-2025 17:00,3,MC-002,Charlie,Pending,21.4,54.7,8,Strip,,Yes,Yes,Dr. Allen,92.84808521,Pending,56,87.39,12,70.52,70,7.151914786,77.34,Pass,Operator Error,Unscheduled,Yes,Mid,121,Not Audited,Material,42
31-01-2025,Amoxicillin,BATCH0052,4662,Evening,Emily Davis,AMX-003,Plant B,Line 3,244,94.77,31-01-2025 06:00,31-01-2025 12:00,6,MC-001,Charlie,Pending,21.9,55.6,5,Strip,,No,No,Dr. Singh,94.76619477,Pending,2,111.56,8,71.42,97,5.233805234,89.76,Pass,Electrical Fault,Unscheduled,Yes,Mid,6,Compliant,Electrical,29
31-01-2025,Amoxicillin,BATCH0053,4707,Evening,Emily Davis,AMX-003,Plant B,Line 2,271,94.24,31-01-2025 12:00,31-01-2025 14:00,2,MC-001,Bob,Fail,22.2,52.4,7,Strip,,Yes,No,Dr. Allen,94.24261738,Pending,36,163.33,8,71.96,84,5.757382622,70.03,Pass,Electrical Fault,Unscheduled,Yes,Senior,16,Major Deviation,Electrical,92
01-02-2025,Paracetamol,BATCH0054,1202,Night,Jane Smith,PRC-001,Plant A,Line 2,203,83.11,01-02-2025 09:00,01-02-2025 15:00,6,MC-005,Bob,Fail,21.7,48.6,3,Bottle,,Yes,Yes,Dr. Allen,83.11148087,Pending,50,84.32,9,71.06,70,16.88851913,67.37,Pass,Mechanical Failure,Unscheduled,Yes,Junior,52,Major Deviation,Material,70
04-02-2025,Ciprofloxacin,BATCH0055,1660,Morning,John Doe,CPF-004,Plant A,Line 2,235,85.84,04-02-2025 06:00,04-02-2025 10:00,4,MC-002,Diana,Pending,24.6,54.8,6,Strip,,No,No,Dr. Kapoor,85.84337349,Pending,6,61.55,10,76.28,74,14.15662651,63.23,Fail,Operator Error,Unscheduled,No,Senior,171,Not Audited,Material,59
05-02-2025,Paracetamol,BATCH0056,2161,Evening,John Doe,PRC-001,Plant B,Line 1,41,98.1,05-02-2025 09:00,05-02-2025 12:00,3,MC-005,Alice,Pending,20.4,53,5,Bottle,,Yes,No,Dr. Zhang,98.10273022,Pending,20,93.46,10,68.72,97,1.897269783,77.13,Fail,Electrical Fault,Unscheduled,No,Junior,37,Not Audited,Electrical,77
08-02-2025,Paracetamol,BATCH0057,4870,Evening,Emily Davis,PRC-001,Plant A,Line 1,212,95.65,08-02-2025 06:00,08-02-2025 12:00,6,MC-005,Alice,Pending,22,53.1,5,Blister Pack,,Yes,No,Dr. Singh,95.64681725,Pending,8,74.18,9,71.6,98,4.353182752,87.54,Pass,Scheduled Maintenance,Scheduled,No,Mid,40,Minor Deviation,Electrical,111
09-02-2025,Metformin,BATCH0058,3697,Night,Emily Davis,MTF-005,Plant A,Line 1,14,99.62,09-02-2025 12:00,09-02-2025 15:00,3,MC-004,Alice,Fail,21.8,49.8,7,Bottle,,No,No,Dr. Allen,99.62131458,Pending,38,189.45,9,71.24,85,0.378685421,62.33,Pass,Operator Error,Unscheduled,Yes,Junior,91,Not Audited,Electrical,60
11-02-2025,Metformin,BATCH0059,3754,Morning,Jane Smith,MTF-005,Plant A,Line 2,192,94.89,11-02-2025 13:00,11-02-2025 15:00,2,MC-004,Charlie,Fail,24.3,44,9,Blister Pack,,No,Yes,Dr. Singh,94.88545551,Pending,17,171.22,10,75.74,88,5.114544486,96.61,Fail,Electrical Fault,Unscheduled,Yes,Mid,54,Major Deviation,Mechanical,91
12-02-2025,Metformin,BATCH0060,1409,Evening,Jane Smith,MTF-005,Plant A,Line 1,223,84.17,12-02-2025 12:00,12-02-2025 17:00,5,MC-004,Bob,Fail,22.5,54.7,9,Blister Pack,,Yes,No,Dr. Allen,84.17317246,Pending,3,145.01,10,72.5,73,15.82682754,77.69,Fail,Operator Error,Unscheduled,Yes,Senior,170,Minor Deviation,Human Error,60
12-02-2025,Paracetamol,BATCH0061,4414,Evening,Emily Davis,PRC-001,Plant B,Line 1,12,99.73,12-02-2025 14:00,12-02-2025 19:00,5,MC-005,Alice,Pass,21.4,42.3,3,Bottle,,No,No,Dr. Kapoor,99.72813774,Approved,24,180.72,12,70.52,72,0.271862256,69.59,Pass,Electrical Fault,Unscheduled,No,Senior,90,Minor Deviation,Operational,102
12-02-2025,Paracetamol,BATCH0062,4086,Morning,Emily Davis,PRC-001,Plant B,Line 2,47,98.85,12-02-2025 08:00,12-02-2025 14:00,6,MC-005,Diana,Pending,23,46.9,7,Strip,,Yes,No,Dr. Singh,98.84973079,Pending,59,170.55,12,73.4,86,1.150269212,63.75,Pass,Operator Error,Unscheduled,Yes,Junior,200,Compliant,Human Error,89
19-02-2025,Metformin,BATCH0063,2431,Night,Robert Lee,MTF-005,Plant A,Line 2,159,93.46,19-02-2025 13:00,19-02-2025 19:00,6,MC-004,Charlie,Pending,21.1,51.9,5,Bottle,,Yes,Yes,Dr. Singh,93.45948169,Pending,13,77.99,9,69.98,86,6.540518305,67.31,Pass,Electrical Fault,Unscheduled,Yes,Senior,70,Minor Deviation,Electrical,66
22-02-2025,Paracetamol,BATCH0064,3496,Night,Jane Smith,PRC-001,Plant A,Line 2,122,96.51,22-02-2025 10:00,22-02-2025 13:00,3,MC-005,Bob,Fail,20.6,46,3,Bottle,,Yes,No,Dr. Kapoor,96.51029748,Pending,49,183.88,12,69.08,81,3.489702517,97.38,Fail,Operator Error,Unscheduled,Yes,Senior,19,Not Audited,Human Error,23
26-02-2025,Paracetamol,BATCH0065,2885,Evening,Jane Smith,PRC-001,Plant A,Line 2,8,99.72,26-02-2025 07:00,26-02-2025 12:00,5,MC-005,Alice,Fail,22.8,47.7,4,Blister Pack,,Yes,No,Dr. Allen,99.72270364,Pending,57,130.9,8,73.04,97,0.27729636,85.53,Fail,Mechanical Failure,Unscheduled,Yes,Junior,60,Not Audited,Operational,62
02-03-2025,Paracetamol,BATCH0066,1133,Night,Emily Davis,PRC-001,Plant B,Line 2,180,84.11,02-03-2025 09:00,02-03-2025 11:00,2,MC-005,Charlie,Pass,23.4,45.9,5,Strip,,No,Yes,Dr. Singh,84.1129744,Approved,8,171.12,12,74.12,99,15.8870256,80.67,Fail,Mechanical Failure,Unscheduled,No,Senior,87,Major Deviation,Mechanical,36
03-03-2025,Amoxicillin,BATCH0067,1773,Night,John Doe,AMX-003,Plant A,Line 3,69,96.11,03-03-2025 08:00,03-03-2025 11:00,3,MC-001,Bob,Pending,20.3,48.2,4,Bottle,,Yes,Yes,Dr. Kapoor,96.10829103,Pending,25,184.41,12,68.54,98,3.891708968,86.28,Pass,Operator Error,Unscheduled,No,Junior,146,Not Audited,Electrical,64
04-03-2025,Ibuprofen,BATCH0068,1141,Morning,Jane Smith,IBU-002,Plant A,Line 3,0,100,04-03-2025 07:00,04-03-2025 11:00,4,MC-003,Alice,Pass,21.4,50.4,9,Strip,,Yes,Yes,Dr. Allen,100,Approved,52,97.7,8,70.52,83,0,77.43,Pass,Operator Error,Unscheduled,No,Junior,37,Major Deviation,Material,28
05-03-2025,Paracetamol,BATCH0069,2868,Evening,Jane Smith,PRC-001,Plant B,Line 1,142,95.05,05-03-2025 07:00,05-03-2025 13:00,6,MC-005,Alice,Fail,22,53.3,9,Bottle,,Yes,Yes,Dr. Singh,95.0488145,Pending,1,66.51,9,71.6,90,4.951185495,89.2,Fail,Material Shortage,Unscheduled,No,Junior,182,Major Deviation,Operational,120
06-03-2025,Paracetamol,BATCH0070,2299,Evening,Emily Davis,PRC-001,Plant B,Line 2,255,88.91,06-03-2025 06:00,06-03-2025 10:00,4,MC-005,Charlie,Fail,22.4,47,6,Strip,,No,Yes,Dr. Zhang,88.90822097,Pending,19,84.19,8,72.32,75,11.09177903,61.91,Fail,Operator Error,Unscheduled,No,Junior,49,Compliant,Operational,120
06-03-2025,Amoxicillin,BATCH0071,3615,Morning,Robert Lee,AMX-003,Plant B,Line 2,173,95.21,06-03-2025 14:00,06-03-2025 17:00,3,MC-001,Alice,Pass,23.4,58.7,8,Strip,,No,No,Dr. Zhang,95.21438451,Approved,27,114.07,12,74.12,72,4.785615491,82.64,Pass,Operator Error,Unscheduled,Yes,Mid,186,Minor Deviation,Operational,21
06-03-2025,Paracetamol,BATCH0072,1750,Evening,John Doe,PRC-001,Plant A,Line 3,264,84.91,06-03-2025 10:00,06-03-2025 16:00,6,MC-005,Alice,Pass,24.1,51.7,6,Bottle,,No,Yes,Dr. Allen,84.91428571,Approved,46,172.7,9,75.38,97,15.08571429,66.35,Fail,Operator Error,Unscheduled,No,Senior,90,Minor Deviation,Human Error,44
09-03-2025,Paracetamol,BATCH0073,3656,Night,Robert Lee,PRC-001,Plant A,Line 2,18,99.51,09-03-2025 14:00,09-03-2025 18:00,4,MC-005,Alice,Fail,22.1,53.1,8,Blister Pack,,Yes,Yes,Dr. Allen,99.50765864,Pending,59,179.11,12,71.78,78,0.492341357,64.81,Fail,Scheduled Maintenance,Scheduled,Yes,Senior,35,Major Deviation,Operational,55
09-03-2025,Metformin,BATCH0074,3278,Evening,Robert Lee,MTF-005,Plant A,Line 1,161,95.09,09-03-2025 08:00,09-03-2025 11:00,3,MC-004,Bob,Pass,20.7,47.8,6,Blister Pack,,Yes,Yes,Dr. Zhang,95.08846858,Approved,6,51.04,8,69.26,74,4.911531422,73.68,Pass,Operator Error,Unscheduled,Yes,Junior,117,Not Audited,Operational,53
10-03-2025,Metformin,BATCH0075,4650,Evening,Emily Davis,MTF-005,Plant A,Line 2,86,98.15,10-03-2025 09:00,10-03-2025 15:00,6,MC-004,Diana,Pending,24.2,43,6,Strip,,Yes,No,Dr. Kapoor,98.15053763,Pending,43,126.61,8,75.56,93,1.849462366,63.67,Fail,Material Shortage,Unscheduled,No,Mid,134,Not Audited,Mechanical,42
13-03-2025,Ibuprofen,BATCH0076,4944,Night,John Doe,IBU-002,Plant A,Line 1,237,95.21,13-03-2025 14:00,13-03-2025 16:00,2,MC-003,Bob,Pass,23.7,53.5,3,Blister Pack,,No,No,Dr. Zhang,95.20631068,Approved,60,112.61,12,74.66,98,4.79368932,63.77,Pass,Operator Error,Unscheduled,Yes,Junior,49,Not Audited,Electrical,11
14-03-2025,Ciprofloxacin,BATCH0077,2762,Morning,Emily Davis,CPF-004,Plant A,Line 1,36,98.7,14-03-2025 13:00,14-03-2025 15:00,2,MC-002,Charlie,Pending,20.5,47.5,4,Bottle,,Yes,Yes,Dr. Allen,98.69659667,Pending,7,83.32,10,68.9,86,1.303403331,72.46,Pass,Mechanical Failure,Unscheduled,Yes,Mid,134,Major Deviation,Mechanical,115
14-03-2025,Ciprofloxacin,BATCH0078,2626,Evening,Robert Lee,CPF-004,Plant B,Line 2,22,99.16,14-03-2025 06:00,14-03-2025 12:00,6,MC-002,Alice,Pending,24,45.6,4,Blister Pack,,Yes,Yes,Dr. Allen,99.16222391,Pending,46,67.98,10,75.2,83,0.837776085,99.18,Pass,Electrical Fault,Unscheduled,No,Junior,166,Minor Deviation,Human Error,60
18-03-2025,Paracetamol,BATCH0079,1134,Night,Robert Lee,PRC-001,Plant B,Line 3,240,78.84,18-03-2025 09:00,18-03-2025 11:00,2,MC-005,Alice,Pass,22.5,56.8,3,Blister Pack,,No,Yes,Dr. Allen,78.83597884,Approved,34,100.64,8,72.5,90,21.16402116,67.01,Pass,Operator Error,Unscheduled,No,Mid,182,Not Audited,Human Error,104
18-03-2025,Metformin,BATCH0080,1774,Morning,Robert Lee,MTF-005,Plant B,Line 3,114,93.57,18-03-2025 10:00,18-03-2025 14:00,4,MC-004,Alice,Pending,24.7,58.9,8,Bottle,,Yes,No,Dr. Kapoor,93.57384442,Pending,13,191.44,8,76.46,100,6.426155581,60.69,Pass,Material Shortage,Unscheduled,Yes,Senior,6,Compliant,Mechanical,39
23-03-2025,Ibuprofen,BATCH0081,1722,Evening,Jane Smith,IBU-002,Plant B,Line 1,32,98.14,23-03-2025 13:00,23-03-2025 16:00,3,MC-003,Diana,Fail,20,49.4,3,Bottle,,No,No,Dr. Kapoor,98.1416957,Pending,16,98.48,10,68,72,1.858304297,90.53,Pass,Mechanical Failure,Unscheduled,No,Senior,152,Compliant,Human Error,117
23-03-2025,Metformin,BATCH0082,3037,Night,Robert Lee,MTF-005,Plant B,Line 3,156,94.86,23-03-2025 12:00,23-03-2025 15:00,3,MC-004,Diana,Fail,20.2,42.6,7,Bottle,,No,Yes,Dr. Zhang,94.86335199,Pending,35,127.82,10,68.36,97,5.136648008,92.28,Pass,Scheduled Maintenance,Scheduled,Yes,Mid,113,Major Deviation,Human Error,116
23-03-2025,Ibuprofen,BATCH0083,2069,Night,Emily Davis,IBU-002,Plant A,Line 3,143,93.09,23-03-2025 10:00,23-03-2025 12:00,2,MC-003,Alice,Pending,21.5,59.4,4,Blister Pack,,No,No,Dr. Kapoor,93.08844853,Pending,49,155.45,12,70.7,70,6.911551474,73.85,Fail,Operator Error,Unscheduled,Yes,Senior,171,Compliant,Material,106
23-03-2025,Amoxicillin,BATCH0084,1995,Evening,John Doe,AMX-003,Plant A,Line 3,162,91.88,23-03-2025 14:00,23-03-2025 17:00,3,MC-001,Diana,Pass,24.6,43.9,6,Strip,,Yes,No,Dr. Kapoor,91.87969925,Approved,39,104.54,12,76.28,89,8.120300752,78.59,Pass,Material Shortage,Unscheduled,Yes,Junior,120,Not Audited,Mechanical,116
26-03-2025,Ibuprofen,BATCH0085,4205,Night,Emily Davis,IBU-002,Plant A,Line 2,140,96.67,26-03-2025 14:00,26-03-2025 19:00,5,MC-003,Charlie,Pending,20.7,58.3,6,Bottle,,No,Yes,Dr. Kapoor,96.6706302,Pending,3,195.77,10,69.26,100,3.329369798,85.99,Pass,Operator Error,Unscheduled,Yes,Mid,24,Major Deviation,Operational,107
26-03-2025,Paracetamol,BATCH0086,1726,Evening,Jane Smith,PRC-001,Plant A,Line 1,184,89.34,26-03-2025 14:00,26-03-2025 20:00,6,MC-005,Charlie,Pending,22.6,49.9,5,Blister Pack,,No,No,Dr. Singh,89.33951333,Pending,1,194.37,12,72.68,98,10.66048667,61.92,Fail,Operator Error,Unscheduled,Yes,Mid,72,Compliant,Human Error,12
03-04-2025,Ciprofloxacin,BATCH0087,2763,Evening,Robert Lee,CPF-004,Plant B,Line 1,64,97.68,03-04-2025 06:00,03-04-2025 12:00,6,MC-002,Alice,Pass,22.9,41.8,6,Blister Pack,,No,No,Dr. Kapoor,97.68367716,Approved,5,87.77,12,73.22,90,2.316322837,97.97,Fail,Electrical Fault,Unscheduled,No,Junior,63,Compliant,Operational,113
08-04-2025,Ibuprofen,BATCH0088,1760,Evening,Emily Davis,IBU-002,Plant A,Line 1,141,91.99,08-04-2025 12:00,08-04-2025 15:00,3,MC-003,Bob,Fail,20.6,55.8,6,Strip,,No,No,Dr. Allen,91.98863636,Pending,53,124.59,9,69.08,92,8.011363636,95.47,Fail,Mechanical Failure,Unscheduled,Yes,Senior,36,Major Deviation,Mechanical,80
11-04-2025,Metformin,BATCH0089,3059,Evening,Robert Lee,MTF-005,Plant B,Line 1,233,92.38,11-04-2025 11:00,11-04-2025 16:00,5,MC-004,Bob,Pending,20.8,58.2,5,Blister Pack,,Yes,Yes,Dr. Kapoor,92.38313174,Pending,41,95.13,12,69.44,70,7.616868258,70.44,Pass,Electrical Fault,Unscheduled,No,Mid,78,Minor Deviation,Mechanical,92
13-04-2025,Paracetamol,BATCH0090,1664,Evening,John Doe,PRC-001,Plant B,Line 1,25,98.5,13-04-2025 14:00,13-04-2025 20:00,6,MC-005,Alice,Fail,23.7,51.8,9,Bottle,,Yes,Yes,Dr. Zhang,98.49759615,Pending,3,92.73,8,74.66,72,1.502403846,60.61,Fail,Mechanical Failure,Unscheduled,Yes,Senior,152,Not Audited,Mechanical,72
14-04-2025,Amoxicillin,BATCH0091,1659,Night,Jane Smith,AMX-003,Plant A,Line 2,141,91.5,14-04-2025 07:00,14-04-2025 12:00,5,MC-001,Alice,Fail,21,51.9,7,Blister Pack,,No,No,Dr. Zhang,91.50090416,Pending,53,55.53,12,69.8,87,8.499095841,97.34,Pass,Operator Error,Unscheduled,Yes,Junior,172,Minor Deviation,Mechanical,77
15-04-2025,Ibuprofen,BATCH0092,4420,Night,Jane Smith,IBU-002,Plant A,Line 3,81,98.17,15-04-2025 08:00,15-04-2025 13:00,5,MC-003,Diana,Pass,23.1,56,4,Strip,,Yes,No,Dr. Zhang,98.16742081,Approved,28,141.43,12,73.58,94,1.832579186,80.04,Pass,Operator Error,Unscheduled,No,Mid,121,Not Audited,Operational,89
16-04-2025,Amoxicillin,BATCH0093,3604,Morning,John Doe,AMX-003,Plant A,Line 3,136,96.23,16-04-2025 07:00,16-04-2025 10:00,3,MC-001,Charlie,Fail,24.1,48,4,Strip,,No,Yes,Dr. Allen,96.22641509,Pending,17,125.4,10,75.38,79,3.773584906,81.58,Pass,Scheduled Maintenance,Scheduled,Yes,Junior,156,Minor Deviation,Operational,81
17-04-2025,Metformin,BATCH0094,3027,Morning,Emily Davis,MTF-005,Plant A,Line 3,275,90.92,17-04-2025 10:00,17-04-2025 16:00,6,MC-004,Alice,Fail,24.7,54,3,Bottle,,Yes,No,Dr. Allen,90.91509746,Pending,25,57.72,8,76.46,100,9.084902544,87.36,Pass,Operator Error,Unscheduled,No,Senior,13,Minor Deviation,Material,57
17-04-2025,Ciprofloxacin,BATCH0095,2333,Evening,Robert Lee,CPF-004,Plant B,Line 3,140,94,17-04-2025 07:00,17-04-2025 11:00,4,MC-002,Charlie,Pending,22.3,51.5,3,Blister Pack,,Yes,No,Dr. Zhang,93.99914273,Pending,43,91.8,12,72.14,91,6.000857265,84.63,Fail,Mechanical Failure,Unscheduled,Yes,Junior,196,Not Audited,Operational,29
20-04-2025,Paracetamol,BATCH0096,3749,Night,Robert Lee,PRC-001,Plant B,Line 1,256,93.17,20-04-2025 09:00,20-04-2025 13:00,4,MC-005,Diana,Fail,20.4,42.2,9,Bottle,,No,Yes,Dr. Zhang,93.1715124,Pending,33,186.24,12,68.72,95,6.828487597,97.76,Fail,Material Shortage,Unscheduled,No,Senior,164,Major Deviation,Human Error,12
20-04-2025,Ciprofloxacin,BATCH0097,3598,Evening,John Doe,CPF-004,Plant A,Line 3,48,98.67,20-04-2025 13:00,20-04-2025 18:00,5,MC-002,Charlie,Pending,22.1,40.7,8,Bottle,,No,Yes,Dr. Zhang,98.66592551,Pending,9,85.93,9,71.78,72,1.334074486,97.77,Pass,Scheduled Maintenance,Scheduled,No,Mid,102,Major Deviation,Electrical,18
26-04-2025,Metformin,BATCH0098,4310,Evening,Emily Davis,MTF-005,Plant B,Line 3,64,98.52,26-04-2025 14:00,26-04-2025 18:00,4,MC-004,Diana,Fail,23.2,41.4,6,Strip,,Yes,No,Dr. Kapoor,98.51508121,Pending,35,71.73,12,73.76,77,1.484918794,94.69,Pass,Scheduled Maintenance,Scheduled,Yes,Mid,54,Not Audited,Mechanical,65
28-04-2025,Ciprofloxacin,BATCH0099,3314,Morning,Robert Lee,CPF-004,Plant B,Line 3,210,93.66,28-04-2025 07:00,28-04-2025 13:00,6,MC-002,Diana,Fail,23.4,55.5,7,Strip,,No,Yes,Dr. Allen,93.66324683,Pending,13,123.42,12,74.12,83,6.336753168,85.46,Pass,Material Shortage,Unscheduled,No,Senior,50,Not Audited,Operational,15
30-04-2025,Ciprofloxacin,BATCH0100,1605,Night,Robert Lee,CPF-004,Plant A,Line 2,242,84.92,30-04-2025 06:00,30-04-2025 09:00,3,MC-002,Diana,Pass,22.2,42.9,3,Bottle,,No,No,Dr. Allen,84.92211838,Approved,30,197.85,9,71.96,93,15.07788162,92.04,Fail,Operator Error,Unscheduled,Yes,Senior,98,Compliant,Human Error,55
